"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","California!!Estimate","California!!Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New York!!Estimate","New York!!Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Washington!!Estimate","Washington!!Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error"
"Total:","192,039","±3,595","57,131","±2,060","935,586","±8,543","158,219","±3,321","10,479,497","±34,682","556,591","±6,532","555,150","±7,881","104,694","±3,031","89,578","±2,732","4,694,298","±20,944","1,172,456","±10,320","261,130","±4,442","108,586","±2,815","1,833,810","±12,056","404,588","±6,116","182,594","±3,519","211,197","±4,443","199,605","±3,564","218,450","±4,299","53,627","±1,667","1,004,774","±9,998","1,236,518","±11,974","707,414","±7,417","488,897","±6,017","70,565","±2,289","269,902","±5,188","25,327","±1,310","151,436","±3,313","595,347","±5,710","86,095","±2,266","2,181,755","±13,717","195,484","±4,382","4,499,070","±19,589","923,923","±10,165","34,813","±1,427","593,106","±8,076","249,771","±3,662","410,791","±5,805","961,247","±9,631","162,413","±4,078","293,556","±5,078","35,218","±1,738","411,840","±6,704","5,095,888","±28,151","285,013","±4,566","27,968","±1,335","1,120,193","±10,778","1,170,683","±10,599","30,515","±1,534","299,804","±4,901","20,364","±1,110","",""
"    Europe:","21,401","±1,523","7,946","±650","87,183","±3,070","10,859","±1,102","678,283","±8,171","74,664","±2,509","119,725","±3,783","10,068","±856","15,147","±1,137","436,834","±7,851","92,452","±2,977","12,799","±806","14,770","±1,196","360,416","±6,179","38,516","±1,878","18,046","±1,192","14,775","±1,060","22,957","±1,314","15,601","±1,040","12,338","±742","83,550","±3,221","223,408","±5,218","123,953","±3,630","43,182","±1,789","6,914","±812","44,733","±2,078","8,040","±785","9,568","±912","44,461","±1,969","20,487","±1,374","292,054","±6,092","15,104","±1,261","686,664","±8,479","97,786","±3,346","3,500","±560","99,156","±2,885","17,699","±1,084","60,784","±2,514","168,446","±4,346","30,544","±1,807","48,019","±2,368","4,493","±838","38,043","±1,910","224,208","±5,160","26,608","±1,472","8,255","±815","103,961","±3,081","164,699","±5,002","6,215","±727","45,364","±2,105","3,701","±668","",""
"        Northern Europe:","4,794","±653","1,718","±342","21,980","±1,532","4,008","±687","166,883","±3,495","18,538","±1,134","19,913","±1,080","2,268","±370","4,019","±564","99,292","±3,006","22,916","±1,582","3,057","±402","3,337","±540","28,979","±1,516","7,320","±799","2,715","±452","3,648","±528","4,687","±566","3,691","±440","4,294","±512","17,844","±1,121","41,346","±1,924","16,093","±1,092","8,167","±600","1,860","±355","6,335","±676","1,853","±305","1,698","±260","10,223","±720","5,423","±612","37,431","±1,972","4,062","±501","95,647","±3,200","27,028","±1,520","541","±205","16,134","±1,132","4,227","±474","16,000","±1,142","28,185","±1,347","3,748","±569","11,836","±1,028","710","±190","9,746","±703","65,526","±3,173","7,104","±714","2,597","±389","25,654","±1,360","30,961","±1,506","1,686","±345","7,673","±716","956","±212","",""
"            Denmark","70","±53","10","±10","521","±175","140","±136","6,506","±715","695","±230","671","±371","4","±5","107","±70","1,697","±324","748","±316","159","±98","83","±56","682","±190","87","±91","96","±66","13","±16","142","±89","78","±77","90","±62","382","±115","1,149","±397","485","±172","342","±124","0","±33","121","±69","107","±48","80","±56","585","±280","106","±65","980","±298","93","±76","2,092","±465","615","±164","78","±88","402","±142","67","±43","635","±206","614","±219","175","±92","343","±173","17","±18","233","±131","2,103","±654","526","±180","49","±42","834","±216","1,564","±354","30","±30","301","±113","39","±28","",""
"            Ireland","156","±73","167","±127","1,595","±393","216","±102","15,890","±1,219","1,485","±297","2,911","±390","240","±127","340","±116","9,617","±1,046","1,292","±320","163","±99","153","±91","6,729","±755","715","±233","184","±108","202","±77","826","±281","309","±131","486","±174","1,582","±320","12,366","±871","1,149","±231","832","±195","140","±93","523","±150","107","±72","174","±96","800","±237","752","±226","8,422","±1,070","276","±140","25,299","±1,607","1,830","±362","8","±9","1,270","±329","175","±97","1,423","±496","4,222","±595","717","±303","899","±292","7","±10","565","±213","4,460","±668","285","±113","178","±81","2,051","±388","2,518","±546","48","±44","669","±306","70","±53","",""
"            Norway","153","±123","144","±84","397","±155","60","±91","3,417","±443","303","±90","509","±164","17","±26","85","±48","1,884","±422","348","±211","120","±72","126","±80","572","±205","135","±72","160","±99","94","±75","71","±88","148","±80","115","±70","552","±357","344","±113","364","±184","366","±102","71","±54","58","±40","39","±30","2","±3","248","±103","99","±54","906","±382","50","±36","2,276","±558","490","±246","20","±25","206","±91","101","±56","623","±294","597","±155","112","±71","193","±104","24","±20","55","±57","1,960","±692","224","±109","9","±10","593","±170","1,503","±264","0","±30","228","±97","35","±37","",""
"            Sweden","134","±96","201","±109","883","±216","117","±88","11,374","±933","1,166","±224","753","±186","84","±75","387","±243","4,550","±676","723","±339","206","±98","60","±51","1,406","±464","183","±135","311","±219","26","±25","144","±71","127","±81","143","±66","932","±285","1,671","±305","622","±308","541","±143","28","±36","301","±101","87","±82","102","±66","521","±212","282","±120","1,051","±239","150","±66","3,385","±449","1,526","±462","4","±6","538","±213","155","±101","780","±253","1,089","±265","129","±91","784","±446","34","±19","356","±105","2,699","±647","442","±180","141","±83","1,163","±246","2,089","±330","38","±35","506","±139","55","±48","",""
"            United Kingdom (inc. Crown Dependencies):","4,081","±599","1,127","±274","18,315","±1,439","3,453","±669","125,612","±2,883","14,322","±1,010","14,759","±847","1,900","±345","3,004","±445","78,076","±2,858","19,193","±1,504","2,247","±359","2,788","±491","19,182","±1,201","5,970","±725","1,939","±327","3,253","±533","3,407","±437","2,924","±405","3,300","±475","13,726","±970","24,809","±1,576","13,076","±920","5,595","±485","1,491","±307","5,266","±653","1,483","±304","1,314","±231","7,853","±602","3,992","±536","25,532","±1,323","3,369","±489","60,854","±2,589","21,791","±1,327","413","±167","13,235","±933","3,632","±453","12,110","±905","21,370","±1,199","2,571","±400","9,433","±873","624","±185","8,362","±670","52,822","±2,635","5,386","±632","2,046","±306","19,878","±1,266","21,921","±1,261","1,526","±312","5,523","±625","731","±199","",""
"                United Kingdom, excluding England and Scotland","1,957","±422","593","±197","6,974","±775","1,543","±370","58,999","±2,118","6,232","±652","6,605","±723","553","±165","2,106","±388","33,182","±2,006","9,232","±988","1,214","±280","925","±280","9,253","±823","2,702","±502","826","±213","1,421","±337","1,478","±320","1,273","±297","1,247","±269","6,898","±719","12,230","±1,094","5,056","±532","2,517","±341","344","±107","1,836","±383","766","±255","635","±173","2,971","±414","1,688","±332","12,219","±891","1,377","±285","32,164","±1,790","9,747","±835","129","±75","5,453","±539","1,371","±237","4,870","±621","10,175","±1,018","1,061","±225","3,152","±443","213","±105","3,719","±612","24,534","±2,082","1,767","±355","876","±188","8,438","±759","10,284","±808","449","±154","2,196","±425","253","±131","",""
"                England","1,720","±309","403","±134","10,039","±1,097","1,336","±463","58,072","±1,963","6,858","±629","6,739","±593","1,239","±292","861","±232","38,774","±1,911","8,752","±1,021","995","±206","1,693","±418","8,631","±949","2,749","±482","978","±200","1,623","±426","1,551","±287","1,512","±340","1,736","±339","6,161","±679","10,643","±988","6,488","±657","2,668","±329","943","±242","2,948","±544","542","±147","527","±142","4,122","±477","1,730","±327","10,931","±857","1,809","±313","23,952","±1,532","10,482","±1,075","237","±137","6,396","±632","2,033","±368","6,474","±741","9,448","±732","1,090","±294","5,366","±687","352","±144","4,263","±464","22,135","±1,405","3,208","±516","960","±201","9,895","±934","9,683","±720","890","±223","2,656","±385","405","±136","",""
