"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","California!!Estimate","California!!Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New York!!Estimate","New York!!Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Washington!!Estimate","Washington!!Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error"
"Total:","","","","","980,927","±22,875","","","10,639,937","±60,453","563,101","±15,894","590,608","±19,751","","","","","4,996,874","±46,951","1,274,237","±24,123","","","","","1,878,890","±26,918","432,652","±13,055","","","","","201,672","±11,100","","","","","1,051,891","±20,145","1,263,580","±22,521","737,552","±19,397","495,352","±14,371","","","296,832","±12,018","","","","","614,779","±14,925","","","2,250,431","±28,235","","","4,517,943","±40,534","995,127","±22,367","","","621,863","±13,762","247,828","±8,309","406,692","±10,651","1,031,320","±23,270","","","316,438","±11,012","","","432,020","±14,082","5,455,292","±65,136","303,784","±10,656","","","1,163,486","±17,234","1,213,933","±21,847","","","307,899","±10,365","","","",""
"    Europe:","","","","","86,591","±7,198","","","672,918","±15,830","73,281","±5,701","112,378","±7,021","","","","","444,456","±15,239","96,852","±6,640","","","","","364,777","±15,948","38,946","±4,361","","","","","22,332","±2,911","","","","","81,281","±6,036","213,355","±9,253","124,021","±7,724","42,452","±3,785","","","50,234","±5,957","","","","","45,144","±4,964","","","294,269","±9,844","","","671,383","±17,904","103,738","±7,431","","","99,232","±7,213","18,497","±2,052","56,800","±4,849","173,823","±11,324","","","53,982","±5,435","","","39,746","±4,186","230,321","±11,319","25,051","±3,106","","","105,115","±7,128","164,598","±9,846","","","42,652","±3,601","","","",""
"        Northern Europe:","","","","","21,693","±2,603","","","153,474","±6,484","22,037","±2,493","19,682","±2,560","","","","","101,014","±6,763","24,365","±2,924","","","","","31,634","±4,185","7,895","±2,040","","","","","3,898","±997","","","","","17,373","±2,171","38,234","±3,284","14,738","±1,864","9,313","±1,461","","","6,896","±1,578","","","","","10,195","±1,980","","","39,670","±4,212","","","92,540","±6,381","26,177","±3,137","","","15,547","±2,737","4,756","±1,014","16,730","±2,318","26,155","±3,169","","","11,213","±1,882","","","9,557","±1,869","57,959","±4,862","6,383","±1,278","","","25,703","±2,727","30,245","±3,491","","","8,492","±1,780","","","",""
"            Denmark","","","","","828","±518","","","5,376","±1,333","844","±590","218","±215","","","","","2,738","±1,010","840","±581","","","","","1,004","±604","5","±10","","","","","383","±408","","","","","422","±262","412","±300","405","±244","273","±226","","","0","±197","","","","","34","±59","","","1,032","±801","","","1,710","±712","542","±472","","","500","±312","0","±165","497","±298","400","±247","","","196","±229","","","0","±226","2,103","±1,357","359","±299","","","699","±410","1,185","±902","","","122","±106","","","",""
"            Ireland","","","","","2,142","±998","","","15,485","±2,087","1,594","±673","2,949","±864","","","","","9,225","±2,152","1,757","±786","","","","","6,836","±1,902","743","±589","","","","","535","±371","","","","","1,666","±552","11,307","±1,938","869","±405","1,125","±620","","","791","±552","","","","","1,052","±600","","","9,363","±2,328","","","24,583","±3,811","1,207","±509","","","1,046","±444","378","±257","1,212","±493","5,205","±1,583","","","587","±351","","","991","±860","3,755","±978","323","±227","","","2,262","±704","1,625","±553","","","1,040","±537","","","",""
"            Norway","","","","","442","±354","","","2,969","±815","256","±189","1,594","±707","","","","","1,789","±796","164","±184","","","","","388","±392","46","±85","","","","","30","±51","","","","","135","±164","343","±219","179","±140","400","±233","","","66","±109","","","","","138","±170","","","965","±831","","","1,713","±733","782","±624","","","131","±153","118","±139","739","±492","621","±435","","","251","±312","","","253","±284","2,106","±852","232","±179","","","904","±528","1,492","±556","","","381","±260","","","",""
"            Sweden","","","","","982","±463","","","8,202","±1,387","1,312","±536","1,656","±701","","","","","5,098","±1,681","669","±381","","","","","2,318","±1,923","152","±174","","","","","268","±236","","","","","691","±455","1,318","±466","177","±176","756","±420","","","177","±222","","","","","476","±470","","","1,197","±557","","","3,501","±1,203","901","±476","","","484","±389","343","±344","1,272","±745","662","±332","","","383","±225","","","520","±389","2,859","±1,140","291","±259","","","1,304","±650","1,879","±675","","","514","±271","","","",""
"            United Kingdom (inc. Crown Dependencies):","","","","","17,035","±2,422","","","118,138","±5,816","17,591","±2,201","12,997","±2,069","","","","","78,638","±5,312","20,122","±2,648","","","","","20,556","±2,935","6,866","±2,003","","","","","2,607","±729","","","","","13,943","±2,285","23,834","±2,831","12,479","±1,710","6,222","±1,137","","","5,862","±1,406","","","","","8,419","±1,735","","","26,557","±2,853","","","59,496","±5,342","21,684","±2,837","","","13,130","±2,655","3,893","±896","12,888","±2,180","19,029","±2,522","","","9,533","±1,798","","","7,648","±1,708","46,391","±4,554","5,100","±1,124","","","20,052","±2,491","23,387","±2,815","","","6,197","±1,590","","","",""
"                United Kingdom, excluding England and Scotland","","","","","7,336","±1,308","","","54,949","±3,529","7,929","±1,488","5,921","±1,552","","","","","32,862","±3,367","9,882","±2,101","","","","","9,632","±2,006","3,688","±1,582","","","","","1,315","±616","","","","","7,085","±1,898","11,714","±1,926","4,290","±866","2,823","±864","","","1,886","±605","","","","","2,753","±952","","","11,924","±2,060","","","31,532","±3,659","9,186","±1,770","","","4,662","±1,273","1,575","±552","5,588","±1,423","8,668","±1,769","","","3,679","±1,137","","","3,240","±1,588","19,749","±3,566","1,389","±470","","","8,680","±1,792","10,586","±2,004","","","2,273","±708","","","",""
"                England","","","","","8,490","±1,586","","","55,883","±4,654","8,671","±1,735","5,635","±1,368","","","","","39,368","±3,728","8,361","±1,567","","","","","9,430","±2,030","2,929","±1,192","","","","","1,120","±503","","","","","6,514","±1,487","10,319","±2,064","7,023","±1,547","3,179","±777","","","3,594","±1,254","","","","","4,679","±1,304","","","12,415","±1,857","","","24,836","±3,565","10,937","±2,185","","","7,644","±1,891","2,194","±642","6,558","±1,672","8,550","±1,531","","","5,372","±1,580","","","3,896","±1,308","21,637","±2,760","3,502","±1,005","","","9,865","±1,710","10,970","±1,675","","","3,544","±1,383","","","",""
